Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added
6641 697,Genesis,Seconds Out,Charisma,"2xLP, Album",,1977,1433089,WaltersCollectionH,2025-12-19 05:27:06
301 080,Ian Hunter,Welcome To The Club - Live,Chrysalis,"2xLP, Album, Gat",,1980,1773988,WaltersCollectionE,2025-12-18 11:36:45
51 1049,Ten Years After,Recorded Live,Chrysalis,"2xLP, Album, RE, Gat",,1978,1403118,WaltersCollectionI,2025-12-19 05:59:23
6641 145,Jethro Tull,Living In The Past,Chrysalis,"2xLP, Comp, RP",,0,1101470,WaltersCollectionD,2025-12-18 11:28:25
"6307 502, CHR 1003",Jethro Tull,Thick As A Brick,"Chrysalis, Chrysalis","LP, Album, RP, New",,0,918621,WaltersCollectionD,2025-12-18 11:25:43
C 31724,Leonard Cohen,Live Songs,Columbia,"LP, Album",,1973,7454019,WaltersCollectionH,2025-12-19 05:55:07
"COT 50 587, SD 5209",Sister Sledge,We Are Family,"Cotillion, Atlantic","LP, Album",,1979,100002,WaltersCollectionB,2025-12-16 07:23:41
574013,Kool & The Gang,Celebrate!,"De-Lite Records, Vogue","LP, Album",,1980,674781,WaltersCollectionA,2025-12-16 07:38:30
6645 407,The Rolling Stones,Stones Story,Decca,"2xLP, Comp",,0,412456,WaltersCollectionE,2025-12-19 04:07:14
"205 716, 205 716-620",UB40,Labour Of Love,"DEP International, Virgin","LP, Album",,1983,764012,WaltersCollectionB,2025-12-16 07:23:02
"202 178, DID.1",Martha And The Muffins,Metro Music,"Dindisc, Dindisc","LP, Album, Gat",,1980,1283949,WaltersCollectionB,2025-12-17 15:49:33
DIS 69 202,Ted Nugent,2 Originals Of Ted Nugent,Discreet,"2xLP, Comp, TP, Gat",,1976,11502598,WaltersCollectionG,2025-12-19 05:18:56
FDM 18110,Jean-Michel Jarre,Les Concerts En Chine,Disques Dreyfus,"2xLP, Album, Gat",,1982,344438,WaltersCollectionC,2025-12-18 02:11:21
DJF 20529,Watsonian Institute,Master Funk,DJM Records (2),"LP, Album",,1978,571157,WaltersCollectionG,2025-12-19 05:15:20
DJLPA-7,Johnny Guitar Watson,A Real Mother For Ya,DJM Records (2),"LP, Album, Pit",,1977,643045,WaltersCollectionG,2025-12-19 05:09:00
SHVL 795,Pink Floyd,Meddle,"E.M.I. Records, Harvest, The Gramophone Co. Ltd.","LP, Album, Gat",,1971,12425139,WaltersCollectionF,2025-12-19 04:34:19
EKS-9002,The Doors,Absolutely Live,Elektra,"2xLP, Album",,1970,22971059,WaltersCollectionE,2025-12-19 04:06:41
1A 062-64370,Kraftwerk,Computer World,EMI,"LP, Album",,1981,103566,WaltersCollectionC,2025-12-18 02:15:06
1C K 052-86 660 Z,David Bowie,Let's Dance,EMI America,"12""",,1983,481645,WaltersCollectionC,2025-12-18 02:18:46
ADEH 162,Various,Now This Is Music,"EMI, Ariola, Virgin, Arcade","2xLP, Comp",,1984,411486,WaltersCollectionC,2025-12-18 02:07:33
"4C 058 06603, EMC 3223",Kate Bush,The Kick Inside,"EMI, EMI","LP, Album",,1978,929860,WaltersCollectionC,2025-12-17 15:58:40
EPC 83646,Ted Nugent,State Of Shock,Epic,"LP, Album",,1979,754939,WaltersCollectionG,2025-12-19 05:17:53
"EPC 85390, LPS DEP 2, 85390",UB40,Present Arms In Dub,"Epic, DEP International, Epic","LP, Album",,1981,126894,WaltersCollectionB,2025-12-16 07:45:10
"EPC 65646, S EPC 65646",Andy Pratt,Andy Pratt,"Epic, Epic","LP, Album",,1973,2930205,WaltersCollectionF,2025-12-19 04:40:20
"EPC 88282, S EPC 88282",Ted Nugent,Double Live Gonzo!,"Epic, Epic","2xLP, Gat",,1978,22794380,WaltersCollectionG,2025-12-19 04:39:53
5C 062-99515,Johnny Guitar Watson,I Don't Want To Be A Lone Ranger,Fantasy,"LP, Album",,1977,3612167,WaltersCollectionB,2025-12-17 15:55:11
F-6009,Creedence Clearwater Revival,Live In Europe,Fantasy,"2xLP, Album",,1973,433849,WaltersCollectionC,2025-12-18 02:12:43
SHVL 814,Pink Floyd,Wish You Were Here,Harvest,"LP, Album",,1975,463597,WaltersCollectionF,2025-12-19 04:32:48
"2C 064-05249, 2C 064-05.249",Pink Floyd,The Dark Side Of The Moon,"Harvest, Harvest","LP, Album, RP, Gat",,0,375760,WaltersCollectionF,2025-12-19 04:31:46
"SHDW 1/2, 1E 054 ○ 04222, 1E 054 ○ 04223",Pink Floyd,Ummagumma,"Harvest, Harvest, Harvest","2xLP, Album, Sid",,1969,1645802,WaltersCollectionF,2025-12-19 04:29:46
1C 051-00 781,"Richard Strauss, Philharmonia Orchestra, Lorin Maazel",Also Sprach Zarathustra / Till Eulenspiegels Lustige Streiche,"His Master's Voice, Die Stimme Seines Herrn, EMI Electrola","LP, RE",,0,30939991,WaltersCollectionA,2025-12-16 07:58:11
28 243 ET,Free,"Free & Easy, Rough & Ready",Island Records,"LP, Comp",,1976,2390114,WaltersCollectionH,2025-12-19 05:44:38
"200 662-320, 200 662",Robert Palmer,Secrets,"Island Records, Island Records","LP, Album",,1979,740977,WaltersCollectionF,2025-12-19 04:38:29
"203 207, 203 207-320",Steve Winwood,Arc Of A Diver,"Island Records, Island Records","LP, Album, RP",,0,1467002,WaltersCollectionI,2025-12-19 05:59:49
"600 085, 600 085-213",Robert Palmer,What's It Take / Best Of Both Worlds,"Island Records, Island Records","12"", Single",,1979,609617,WaltersCollectionF,2025-12-19 04:39:19
"89 729 XOT, ILPS 9376",Bob Marley & The Wailers,Live!,"Island Records, Island Records","LP, Album",,1975,662832,WaltersCollectionC,2025-12-18 02:02:23
"ILPS 9160, ILPS-9160, IL PS 9160",Free,Free Live,"Island Records, Island Records, Island Records","LP, Album, Env",,1971,1378960,WaltersCollectionG,2025-12-19 05:28:37
K 63500,"Emerson, Lake & Palmer",Welcome Back My Friends To The Show That Never Ends - Ladies And Gentlemen,Manticore,"3xLP, Album",,1974,1345136,WaltersCollectionH,2025-12-19 05:41:23
62 51 016,Yarbrough & Peoples,Don't Stop The Music,Mercury,"12"", Maxi",,1980,74618,WaltersCollectionG,2025-12-19 05:05:16
6337 110,The Gap Band,Gap Band III,Mercury,"LP, Album",,1980,806066,WaltersCollectionH,2025-12-19 05:32:22
6338 063,Rod Stewart,Every Picture Tells A Story,Mercury,"LP, Album, Bla",,1971,1300866,WaltersCollectionA,2025-12-16 07:21:43
6619 031,Rod Stewart,The Best Of Rod Stewart Vol. 2,Mercury,"2xLP, Comp",,1977,1689283,WaltersCollectionA,2025-12-16 07:55:49
